character_id,name
nm0654863,Rasim Öztekin
nm1759693,Soray Uzun
nm2278061,Özlem Türkad
nm0174668,Yasemin Çonka
nm3104067,Hakan Bulut
nm1760586,Ayse Tolga
nm5271165,Tolunay Donat
nm0439084,Suzan Kardes
nm5271161,Mehmet Elmas
nm5271239,Haci Ali Konuk
nm4907206,Özlem Balci
nm1759769,Berat Yenilmez
nm5288063,Eray Yasin Isik
nm5271082,Osman Büyükercan
nm5271101,Betül Berk
nm5271258,Begüm Öner
nm2695609,Ceyhun Fersoy
nm1728127,Necmi Yapici
nm1699105,Askin Senol
nm5506725,Faruk Sofuoglu
nm5271229,Onur Dilber
nm5326377,Yasin Kaya
nm8453356,Ali Fuad Pekzeren
nm2913992,Tahsin Taskin
nm2485360,Kemal Kuruçay
nm2930645,Umut Vardarli
nm2898368,Aydin Sarman
nm1698635,Ilker Ayrik
nm7336425,Etem Caner Karaüç
nm1077143,Yorgos Lambatos
nm1049776,Alptekin Ergür
nm7021525,Gokberk Demirci
nm3272008,Can Verel
nm6159254,Ceyda Olguner
nm7859372,Gül Arcan
nm9570448,Berkent Müftüler
nm8464718,Derya Kurtulus
nm2565099,Tugçe Ersoy
nm1855390,Mustafa Simsek
nm1001765,Leighton Reynolds
nm1017669,Mona Botros
nm1017619,Aquiles Benites
nm9790593,Yagmur Çokgenç
nm9985851,Oguzhan Kayra Koc
nm1093499,Carolyn Goldman
nm1104776,Thierry Brunet
nm8557415,Irfan Kilinc
nm9657831,Nur Yazar
nm1074862,Deborah Klein
nm1061259,Lori McDonald
nm3668045,Pervin Balci
nm1043172,Jean Vitton
nm9745769,Kadir Kagan Bayram
nm1019940,Claude Scasso
nm5279223,Gonca Yakut
nm4906800,Volkan Murat Benli
nm1097661,Yasushige Kanehara
nm1097885,Curtis Knutson
nm3478813,Hakan Terme
nm2277045,Tolgahan Sayisman
nm2899031,Yildiz Çagri Atiksoy
nm4275268,Erkan Avci
nm5992669,Ilayda Alisan
nm2606110,Mehmet Bozdogan
nm1032141,Farida Rahmatoullah
nm8703553,Emir Özyakisir
nm0654874,Erdal Özyagcilar
nm9229696,Bahar Suer
nm8624242,Berk Yaygin
nm5408575,Özgür Ege Nalci
nm7990085,Leya Kirsan
nm3001790,Burak Kut
nm2433192,Gökhan Atalay
nm1002136,Emilia Varini
nm9731391,Tuana Naz Tiryaki
nm7591124,Yagiz Kilinc
nm3667720,Burcu Altin
nm1025919,John Willett
nm7799703,Deniz Erayvaz
nm4842088,Emre Sen
nm3738001,Ebubekir Öztürk
nm4340019,Helin Melike Çal
nm1896235,Turan Günay
nm1050497,Darren Shmyr
nm8902394,Ilker Coskun
nm1031446,Olivia Moreau
nm9373287,Özüm Çakir
nm1036616,Kaylynn
nm4146405,Kadir Dogulu
nm5271084,Devrim Özkan
nm2040571,Mehmet Özgür
nm6844214,Ümit Kantarcilar
nm8805149,Pelin Uluksar
nm4356786,Gamze Süner Atay
nm8793242,Baran Bölükbasi
nm1201750,Erdem Akakçe
nm1279883,Murat Karasu
nm2240777,Osman Alkas
nm7487477,Gözde Kaya
nm1699182,Özcan Varayli
nm5290363,Mert Karabulut
nm1036254,Marcel Zanini
nm1699432,Hikmet Körmükçü
nm6906819,Baris Kislak
nm4431675,Sennur Nogaylar
nm8227622,Mehmet Emin Kadagan
nm9469051,Dogukan Tongel
nm8559512,Pinar Bibin
nm8422199,Görkem Mete Demir
nm9487242,Serra Pirinç
nm1802006,Nurhan Özenen
nm9671171,Musa Evren
nm9437044,Onur Seyit Yaran
nm7684271,Yaprak Durmaz
nm4577662,Ergul Miray Sahin
nm1061589,Manuela Torroni
nm9784438,Berkay Veli
nm9878295,Sila Özlem Önemli
nm2501981,Emrah Akduman
nm9878294,Sude Dogar
nm1868520,Keiko Belir Yarar
nm8610471,Özlem Gezgin
nm9486622,Dogu Demirkol
nm2906509,Ece Çesmioglu
nm0019338,Zafer Algöz
nm1282801,Asuman Dabak
nm2486207,Baris Yildiz
nm4236985,Yeliz Kuvanci
nm1954267,Hande Katipoglu
nm1256344,Bora Akkas
nm7045459,Dilek Çelebi
nm9741833,Dilhan Naz Özgülüs
nm1702870,Ugur Serhan
nm1125645,Marie-Claire Dacquet
nm1759786,Sinasi Yurtsever
nm6659651,Ozan Çelik
nm1148648,Guga Feijó
nm1486500,Nehir Erdogan
nm2534730,Kutsi
nm7957298,Mustafa Mert Koç
nm9621862,Rabia Soyturk
nm2581382,Mehmet Çevik
nm1197073,Kaan Çakir
