movie_id,imdb_point,ratingCount
tt11093718,7.0,2012
tt7661932,6.4,387
tt11100380,5.7,14
tt11519740,6.0,107
tt11100380,6.4,107
tt6941980,6.0,470
tt10855046,3.9,28
tt2361816,0.0,0
tt7661056,7.8,801
tt11093718,6.7,69
tt7661056,7.3,1279
tt11051886,5.0,7544
tt9721776,5.4,154
tt11051886,6.3,836
tt10324306,7.3,7586
tt11051886,5.8,422
tt7661932,6.8,739
tt9280252,7.1,522
tt2361816,5.9,384
tt7661932,4.9,236
tt11100380,6.6,562
tt7661056,6.5,483
tt10324306,6.3,785
tt7661932,5.8,462
tt11100380,7.0,1421
tt10324306,3.6,3153
tt11100380,6.2,402
tt7661932,6.3,78
tt7661056,7.8,1861
tt11628176,3.3,113
tt11755606,6.9,1474
tt11093718,8.0,558
tt7661932,4.8,48
tt7431994,4.1,47
tt2361816,8.2,169
tt10855046,6.7,53
tt10723804,8.5,13286
tt9280252,2.4,346
tt7661932,7.8,24269
tt11051886,5.0,7544
tt9721776,5.4,154
tt11100380,6.4,107
tt6941980,6.0,470
tt11051886,6.3,892
tt11051886,8.7,2490
tt10324306,7.3,7586
tt7661932,6.7,2447
tt10855046,3.9,28
tt7661932,6.8,739
tt11755606,6.9,1474
tt6941980,5.7,1812
tt10324306,4.7,2353
tt7661932,5.8,462
tt11100380,7.6,2896
tt11093718,7.2,992
tt11051886,6.1,1635
tt10324306,3.6,3153
tt6941980,4.9,294
tt10324306,6.6,1474
tt10723804,6.2,546
tt7661932,7.3,4050
tt9721776,3.4,52
tt11100380,6.2,402
tt7661056,4.8,301
tt11051886,5.3,109
tt11093718,7.4,206
tt11051886,7.7,1728
tt7661932,6.4,387
tt5175270,7.0,88
tt7661056,6.4,67
tt11100380,7.0,1421
tt11051886,5.8,422
tt10324306,6.7,27
tt7431994,6.1,55
tt11093718,5.3,149
tt9280252,7.1,165
tt11100380,4.4,63
tt7431994,6.9,57
tt11100380,6.5,385
tt10324306,6.3,785
tt7431994,5.5,253
tt11051886,6.6,715
tt7661056,7.9,8414
tt7431994,4.2,133
tt7661932,4.9,236
tt11100380,5.7,14
tt7661056,7.3,1279
tt11519740,6.0,107
tt10324306,6.6,290
tt11093718,6.7,69
tt11093718,7.0,2012
tt2361816,0.0,0
tt2361816,3.6,14
tt10324306,6.8,170
tt11051886,5.8,186
tt11100380,6.2,346
tt7661056,7.8,1861
tt9721776,6.0,183
tt7661932,6.3,78
tt2361816,0.0,0
tt11051886,6.3,836
tt9280252,7.1,522
tt11100380,6.6,562
