movie_id,character_id
tt2361816,nm0654863
tt9826628,nm1759693
tt10855046,nm2278061
tt10476544,nm0174668
tt9280252,nm3104067
tt9520396,nm1760586
tt8495684,nm5271165
tt11039324,nm0439084
tt11519740,nm5271161
tt10882988,nm5271239
tt10723804,nm4907206
tt6536562,nm1759769
tt7661056,nm5288063
tt11256614,nm5271082
tt7431994,nm5271101
tt9910728,nm5271258
tt7661932,nm2695609
tt11256260,nm1728127
tt11051886,nm1699105
tt10850402,nm5506725
tt11100380,nm5271229
tt11426542,nm5326377
tt10324306,nm8453356
tt7978230,nm2913992
tt9721776,nm2485360
tt0845088,nm2930645
tt6941980,nm2898368
tt11149738,nm1698635
tt11093718,nm7336425
tt11561800,nm1077143
tt2361816,nm1049776
tt9826628,nm7021525
tt10855046,nm3272008
tt10476544,nm1049776
tt9280252,nm6159254
tt9520396,nm7859372
tt8495684,nm9570448
tt11039324,nm8464718
tt11519740,nm1049776
tt10882988,nm2565099
tt10723804,nm1855390
tt6536562,nm1001765
tt7661056,nm1017669
tt11256614,nm1017619
tt7431994,nm1049776
tt9910728,nm1049776
tt7661932,nm1049776
tt11256260,nm1049776
tt2361816,nm9790593
tt9826628,nm9985851
tt10855046,nm1093499
tt10476544,nm1093499
tt9280252,nm1104776
tt9520396,nm8557415
tt8495684,nm9657831
tt11039324,nm1074862
tt11519740,nm1104776
tt10882988,nm1104776
tt10723804,nm1093499
tt6536562,nm1061259
tt7661056,nm3668045
tt11256614,nm1043172
tt7431994,nm9745769
tt9910728,nm1019940
tt7661932,nm1104776
tt11256260,nm5279223
tt11051886,nm4906800
tt10850402,nm1097661
tt11100380,nm1097885
tt11426542,nm3478813
tt2361816,nm2277045
tt9826628,nm2899031
tt10855046,nm4275268
tt10476544,nm5992669
tt9280252,nm2606110
tt9520396,nm1032141
tt8495684,nm8703553
tt11039324,nm0654874
tt11519740,nm9229696
tt10882988,nm8624242
tt2361816,nm5408575
tt9826628,nm7990085
tt10855046,nm3001790
tt10476544,nm2433192
tt9280252,nm1002136
tt9520396,nm9731391
tt8495684,nm7591124
tt11039324,nm3667720
tt11519740,nm1025919
tt10882988,nm7799703
tt10723804,nm1025919
tt6536562,nm1025919
tt7661056,nm4842088
tt11256614,nm1025919
tt7431994,nm3738001
tt9910728,nm4340019
tt7661932,nm1896235
tt11256260,nm1050497
tt11051886,nm1025919
tt10850402,nm8902394
tt11100380,nm1031446
tt11426542,nm9373287
tt10324306,nm1036616
tt2361816,nm4146405
tt9826628,nm5271084
tt10855046,nm2040571
tt10476544,nm6844214
tt9280252,nm8805149
tt9520396,nm4356786
tt8495684,nm8793242
tt11039324,nm1201750
tt11519740,nm1279883
tt10882988,nm2240777
tt10723804,nm7487477
tt6536562,nm1699182
tt7661056,nm5290363
tt11256614,nm1036254
tt7431994,nm1699432
tt9910728,nm6906819
tt7661932,nm4431675
tt11256260,nm8227622
tt11051886,nm9469051
tt10850402,nm8559512
tt11100380,nm8422199
tt11426542,nm9487242
tt10324306,nm1802006
tt7978230,nm9671171
tt9721776,nm9437044
tt0845088,nm7684271
tt6941980,nm4577662
tt11149738,nm1061589
tt2361816,nm9784438
tt9826628,nm9878295
tt10855046,nm2501981
tt10476544,nm9878294
tt9280252,nm1868520
tt2361816,nm8610471
tt2361816,nm9486622
tt9826628,nm2906509
tt10855046,nm0019338
tt10476544,nm1282801
tt9280252,nm2486207
tt9520396,nm4236985
tt8495684,nm1954267
tt11039324,nm1256344
tt11519740,nm7045459
tt10882988,nm9741833
tt10723804,nm1702870
tt6536562,nm1125645
tt7661056,nm1759786
tt11256614,nm6659651
tt2361816,nm1148648
tt9826628,nm1486500
tt10855046,nm2534730
tt10476544,nm7957298
tt9280252,nm9621862
